country,avg_temperature,avg_humidity,avg_precip,avg_uv,avg_pm25
Afghanistan,0.6268213733888787,0.21803830227743226,0.0008165898111550274,0.37341068729438914,0.012316731902969356
Albania,0.6375662539850179,0.5071724341910673,0.0031595678249890157,0.24739930648172803,0.009910807620901843
Algeria,0.6465707056976515,0.5882810474462011,0.0007849880382775107,0.19988197699664825,0.012790826689666846
Andorra,0.49787058225273284,0.5860876959479439,0.0028610665074659584,0.15900906908508902,0.0030408687818214153
Angola,0.6888385260810885,0.7273735581188993,0.0007067962231005697,0.32724282030763713,0.022327508042559938
Antigua and Barbuda,0.6975457312568335,0.7842618799344551,0.0028093722351249673,0.08828534324481654,0.006929147794122808
Argentina,0.5219727640780268,0.8258627087198511,0.002480630165289253,0.07058561070830992,0.007636285453504505
Armenia,0.6117247550313908,0.358381396036675,0.000999293203776897,0.3386680892682488,0.009010663290700553
Australia,0.5074224021592438,0.6983325939071275,0.00219930281071585,0.020527696274562086,0.0048776018776647175
Austria,0.5434849163954136,0.6344679432571572,0.0019008139470934357,0.18554106866489226,0.010707009189353016
Azerbaijan,0.620496165724936,0.5689840364457938,0.0005194584227025237,0.3084854085711419,0.01179526460279959
Bahamas,0.678968130385134,0.8021230470210057,0.0019013104950604922,0.09000202251735985,0.005835907734500726
Bahrain,0.7673947270629189,0.4535640343093754,8.148742863416755e-06,0.4604450075575703,0.0442029414291721
Bangladesh,0.7599681020733648,0.49706864564007375,0.008164600550964176,0.23683212493028408,0.04267456463750971
Barbados,0.7054956994560097,0.7979071409984755,0.003568385356295187,0.08937611049649662,0.007288141422949452
Belarus,0.5091826556357444,0.6882579118603959,0.0021508392347386867,0.17127900773539578,0.009112078676374723
Belgium,0.5251936961728195,0.7406320069927407,0.002183144292082836,0.1367115650455264,0.01150541367744275
Belize,0.6437788744742255,0.9569678236258001,0.0036241463448352064,0.07735882853432434,0.00441190722296551
Benin,0.7215809312475657,0.7716026519500717,0.002641976709013909,0.2557647556589799,0.017505648063138094
Bhutan,0.5230485119681791,0.6569872958257708,0.008114550679205832,0.22447752552525765,0.005992873766739625
Bolivia,0.5667782029714253,0.7425775789767957,0.0021750034592500304,0.08741350813793862,0.009021986712798745
Bosnia and Herzegovina,0.5495804729214335,0.6464248742975447,0.003736841924681591,0.2136347470436557,0.01547543110754407
Botswana,0.6559829059829055,0.41646332446021833,0.0007994345630215181,0.44570774428736504,0.010381280722744366
Brazil,0.6670803904764715,0.797054223149113,0.003920074375138237,0.11887062827459569,0.006845565595243634
Brunei Darussalam,0.7301507993073565,0.7746027630652983,0.012324355166914129,0.1108970861679265,0.009469340184949333
Bulgaria,0.5819876709272863,0.5207922776311829,0.00270626425879085,0.2397256835319747,0.011433492678378608
Burkina Faso,0.7286298252961732,0.5495018334012367,0.0015205652257603219,0.25854831705877723,0.02452942500454961
Burundi,0.6940972833421342,0.5654022478556634,0.004551716211023266,0.5068018138170174,0.017081745304212803
B̩lgica,0.570850202429149,0.622448979591836,0.00284090909090909,0.245398773006134,0.00101119501936884
Cambodia,0.7584467940757935,0.6677284343864582,0.004208085849419779,0.1281217641098725,0.016102423132425554
Cameroon,0.6792344497607651,0.6266790352504633,0.0063705234159779495,0.330976017847183,0.014582680401314618
Canada,0.44138649833214066,0.8449500018586666,0.0038361759673235015,0.06526087588141279,0.005835252832861308
